"Hugo_Symbol","Entrez_Gene_Id","HR","pvalue","qvalue"
"CELF4",56853,1.26668621588515,0.00580535943152525,0.326837879358979
"A2M-AS1",144571,1.28116410476979,0.00578919018501717,0.326837879358979
"TMEM150B",284417,1.25510473525325,0.00571979202686769,0.326837879358979
"KLHL10",317719,1.34092177845356,0.00569414659518683,0.326837879358979
"C10orf50",645528,1.31607714601694,0.00565992514521588,0.326837879358979
"CLRN1OS",116933,1.29281217056423,0.00587472081201899,0.327613597283592
"CD163L1",283316,1.3281518338403,0.0058583628409253,0.327613597283592
"IL1R2",7850,1.30348600008788,0.0058944273693564,0.327719476973613
"KRT19",3880,1.29582571322384,0.00598268507637473,0.331388220083592
"FXYD5",53827,1.3104303539694,0.00599642869574722,0.331388220083592
"HRNBP3",146713,1.29298259190435,0.00604789416512447,0.333231725511334
"AMPD3",272,1.28218828198656,0.00608563314488328,0.333315198706211
"RCVRN",5957,1.2526213632789,0.00608005329116192,0.333315198706211
"TSPAN31",6302,1.26705291927666,0.00610493120546625,0.333379967282479
"IFI30",10437,1.25828504665183,0.00613303418102485,0.333391249372064
"C17orf107",100130311,1.32045164391109,0.00614137007754875,0.333391249372064
"GRP",2922,1.28859845176102,0.00617326992693626,0.333636316912585
"CD300LF",146722,1.28616966152797,0.00618214334984468,0.333636316912585
"ANGPTL7",10218,1.25817341887251,0.00625954975966209,0.33389708471612
"MTHFS",10588,1.32563102515602,0.00625535938167541,0.33389708471612
"B3GNT8",374907,1.24305198911192,0.00622666457831098,0.33389708471612
"RNF207",388591,1.3020165168328,0.00621748688918802,0.33389708471612
"EPHX4",253152,1.33961869447814,0.00630919390998391,0.33550599147611
"HAR1B",768097,1.19909708830563,0.00632617394132533,0.33550599147611
"COL12A1",1303,1.4668905314259,0.00642402794112827,0.335856210797112
"DDC",1644,1.28927637451402,0.0063834750913882,0.335856210797112
"KRT8",3856,1.29249654418997,0.00635457099504559,0.335856210797112
"LTBR",4055,1.31712913804549,0.00642145570706894,0.335856210797112
"WDR86",349136,1.31578844748191,0.00639313791484256,0.335856210797112
"HSPA7",3311,1.2526238333452,0.00646345362051037,0.336048960864302
"GLS2",27165,1.26576925370621,0.00646423583904596,0.336048960864302
"LINC01106",151009,1.32632523456923,0.00648491697379919,0.336174442447399
"PLA2G2D",26279,1.29720677379346,0.00651527085399178,0.336799240241603
"SHANK2",22941,1.28526127010868,0.00656770106030454,0.337707670122716
"TMPRSS3",64699,1.25786316161148,0.00656954550366421,0.337707670122716
"PLEK",5341,1.29622991903709,0.00667648914873943,0.341411593890802
"OR4F29",729759,0.715505059267729,0.00667870313539578,0.341411593890802
"CD247",919,1.25991813162058,0.00676722627798099,0.343236200050021
"PPBP",5473,1.23041948939563,0.00677034943314446,0.343236200050021
"PRIMA1",145270,1.31473777992546,0.00674965966658147,0.343236200050021
"HTR2C",3358,1.31757673802383,0.00693563984622937,0.346485780156886
"MAGEA8",4107,0.488789906736287,0.00688460804953019,0.346485780156886
"VNN1",8876,1.29431398361782,0.00692080207608722,0.346485780156886
"IKZF3",22806,1.30846878004541,0.00686621816386756,0.346485780156886
"AGBL4",84871,1.21111830144413,0.00694741362157751,0.346485780156886
"KCNU1",157855,1.32821437126836,0.00693230335820654,0.346485780156886
"SLC6A7",6534,1.29552217288738,0.00700255575720038,0.34829198270205
"ACTG2",72,1.24952984640053,0.00705046972521312,0.349441347220836
"FCER1G",2207,1.27104834580229,0.00710376472706161,0.349441347220836
"SYP",6855,1.29517866522421,0.00712060561907371,0.349441347220836
"PKD2L1",9033,1.2686418736528,0.00710586220605823,0.349441347220836
"CYB5R1",51706,1.38368175393141,0.00708191205369333,0.349441347220836
"CAMKK1",84254,1.268831094247,0.00717317346178072,0.351084870258379
"ATP6V1B2",526,1.33169096916394,0.00721867911813689,0.3517460577818
"DDN",23109,1.27773793914052,0.00722490951700921,0.3517460577818
"C14orf72",145200,1.27333836063073,0.00726606471622199,0.352816329743096
"CNGB1",1258,1.26612041639564,0.0073345282323423,0.353343777643443
"SPP1",6696,1.27911430351082,0.0073235660874872,0.353343777643443
"RAB40B",10966,1.29304018506699,0.00731758571735997,0.353343777643443
"DRD5",1816,1.28272497365142,0.00747218209832163,0.357456760183287
"MMP19",4327,1.30871028333228,0.00747018503873192,0.357456760183287
"KRT36",8689,1.22386702544054,0.00749759873013905,0.357456760183287
"IL1F7",27178,1.23507290233141,0.00748573603645179,0.357456760183287
"PSD",5662,1.25621811680719,0.00755406172508939,0.358960307757836
"RXFP1",59350,1.24988760603194,0.00756814646579582,0.358960307757836
"LPO",4025,1.21295654159717,0.00778729487175854,0.36689125005637
"DOC2A",8448,1.28828453421735,0.00779516811237519,0.36689125005637
"WSCD2",9671,1.29361733148681,0.00779214529955303,0.36689125005637
"IL4R",3566,1.29776347055085,0.00791063029404353,0.371319439448859
"PCDHB3",56132,1.31053639088757,0.00792960602637621,0.371319439448859
"LMO7",4008,1.28748633830369,0.00796182513143838,0.371881898207768
